qi,query,n_words,bucket,ceiling_rank,muvera_rank,rank_delta,ceiling_ok_muvera_lost
99,"Quel montant total a été investi en millions d'euros courants en 2010 et 2011?",14,other,1,1,0,False
100,"Quelles étaient les recettes unitaires par ATK et RTK pour KLM Cargo durant l'exercice 2011 ?",16,other,2,1,-1,False
101,"Comment sont structurées les données relatives aux opérations financières dans un document comptable ?",14,other,None,None,0,False
102,"Quelle est la tendance générale des déplacements, tous motifs confondus, de 2013 à 2014 ?",15,other,1,1,0,False
103,"combien d'agents de bibliothèques y a-t-il en France ?",9,other,4,4,0,False
104,"Combien d'agents travaillent en moyenne dans les bibliothèques municipales et comment cela se compare-t-il aux bibliothèques universitaires?",17,other,4,1,-3,False
105,"Quel est le pourcentage de forêts domaniales dans les zones Natura 2000 en France métropolitaine?",15,other,2,4,2,False
106,"Quelles étaient les principales catégories de dette financière d'une entreprise à la fin de l'année 2019 et 2020?",18,other,2,None,9,False
107,"Combien d'états des lieux ont eu lieu en 2016 ?",10,other,3,4,1,False
108,"Comment varient les montants des primes perçues par les salariés en fonction de la politique de rémunération de leur entreprise en France ?",23,other,1,1,0,False
109,"Comment ont évolué les pourcentages de croissance pour les compagnies autoroutières françaises sur la période de 2007 à 2011 ?",20,other,3,3,0,False
110,"Quel est le pourcentage de population vivant dans les villes de plus de 70 000 habitants comparé aux petites villes?",20,other,None,7,-4,False
111,"Quels sont les niveaux de bruit enregistrés dans différents lieux de circulation à Paris?",14,other,2,1,-1,False
112,"Quel est l'effectif de l'espèce en Atlantique ?",8,other,2,2,0,False
113,"Quel est le nombre de personnes blessées au total en 2020 ?",12,other,2,2,0,False
114,"Comment les plans d'options d'achat d'actions et les rachats d'actions ont-ils affecté le nombre d'actions ordinaires disponibles pour calculer le bénéfice de base par action en 2006 ?",28,other,None,None,0,False
115,"Comment a évolué le montant des provisions pour risques chez les clients entre 2004 et 2005 ?",17,other,5,1,-4,False
116,"Quelles étaient les valeurs du résultat net et des dividendes distribués par une entreprise donnée entre 2016 et 2017?",19,other,1,2,1,True
117,"En médecine et chirurgie dans les CHU, combien de patients effectifs y a t il eu ?",17,other,1,3,2,True
118,"Quel est le taux de croissance annuel moyen de la consommation intermédiaire entre 2000 et 2011?",16,other,2,1,-1,False
119,"Quelles sont les régions françaises ayant une majorité de surfaces forestières privées incluses dans Natura 2000?",16,other,3,4,1,False
120,"Combien de millions d'euros ont été investis en 2010 ? ",10,other,2,3,1,False
121,"Dans les communes de différentes tailles, comment se répartit la population en fonction du nombre d'habitants?",16,other,None,None,0,False
122,"Quel pourcentage de femmes parmi les titulaires de la fonction publique était présent en 2013 ?",16,other,2,1,-1,False
123,"Quelle a été l'évolution des prix des loyers en France au cours des années 1990 à 2010 ?",18,other,3,1,-2,False
124,"Quelle a été l'évolution de la surface moyenne des logements collectifs en France entre 2001 et 2011 ?",18,other,1,2,1,True
125,"Quelle spécialité médicale affiche la plus grande proportion de patients avec EIG par rapport à ceux sans EIG?",18,other,1,1,0,False
126,"Quelle était la part des programmes de la tranche 17h-24h disponibles en TVR sur TF1 en Mars 2010 ?",19,other,2,2,0,False
127,"Quel est le pourcentage d'augmentation des dépenses totales des ménages français dans les domaines du logement, de l'énergie et des charges sur les deux dernières décennies ?",27,other,None,None,0,False
128,"Quel est le montant moyen des travaux de rénovation énergétique engagés dans le secteur résidentiel?",15,other,2,5,3,False
129,"Quels sont les impacts des actions de gestion sur les perspectives futures de conservation d'une espèce dans différents domaines biogéographiques?",20,other,2,1,-1,False
130,"Quel était le résultat avant impots des caisses régionales en 2016 ?",12,other,3,10,7,False
131,"Comment est classée la ville de Lyon par rapport aux autres grandes villes françaises concernant la population ?",18,other,2,2,0,False
132,"Quelles sont les principales catégories de produits et charges exceptionnels dans un compte de résultat d'entreprise?",16,other,3,3,0,False
133,"Dans les institutions de prévoyance, quelle est la durée moyenne de couverture pour le forfait journalier en psychiatrie?",18,other,3,3,0,False
134,"Quel est le résultat d'exploitation du 3e trimestre 2010-11 ?",10,other,4,3,-1,False
135,"Comment ont évolué les coûts de restructuration entre décembre 2016 et juin 2017?",13,other,2,1,-1,False
136,"Combien de chambres funéraires sont disponibles dans la région Grand Est?",11,other,2,2,0,False
137,"Quelle a été l'évolution du nombre de voyageurs utilisant le transport routier entre 2008 et 2014 ?",17,other,3,2,-1,False
138,"Quelles ont été les variations du chiffre d'affaires et du résultat net pour une entreprise donnée entre deux périodes?",19,other,2,5,3,False
139,"Quelles sont les dépenses en acquisition de terrain en 2008 ?",11,other,1,None,10,True
140,"Quels sont les types d'installations de gestion des déchets en France et leurs capacités de traitement ?",17,other,4,4,0,False
141,"Quelles sont les principales villes de France en termes de population totale ?",13,other,1,3,2,True
142,"Combien est dépensé en moyenne pour la sécurité et la salubrité publiques par habitant dans les administrations publiques?",18,other,2,3,1,False
143,"Quelles étaient les principales composantes du produit net bancaire des caisses régionales et de LCL en France en 2004, y compris selon les normes IAS 32-39 et IFRS 4?",29,other,2,3,1,False
144,"Quelles conséquences a une variation de la marge opérationnelle sur les projections financières d'une société?",15,other,6,7,1,False
145,"Combien ont représenté les études préliminaires dans le total des investissements en 2011?",13,other,3,3,0,False
146,"Quelle part des résidents habitent au même endroit depuis plus de 12 ans?",13,other,3,3,0,False
147,"Combien d'établissements intercommunaux sont dédiés aux activités culturelles et sportives ?",11,other,2,2,0,False
148,"Combien de millions d'euros ont été dépensés pour l'Allocation Compensatrice pour Tierce Personne en 2007 ?",16,other,10,None,1,False
149,"Quel pourcentage de contrats individuels de mutuelles ne couvrent pas les frais de psychiatrie?",14,other,3,1,-2,False
150,"Combien de projets de rénovation énergétique ont été achevés l'année dernière et quelle en a été la contribution aux économies d'énergie?",21,other,8,None,3,False
151,"Quelle a été la croissance moyenne des incicateurs entre le 1er trimestre 2015 et 2016 ?",16,other,10,None,1,False
152,"Combien de catégories de ménages peuvent bénéficier de logements sociaux à Paris pour moins de 60000€ ?",17,other,3,1,-2,False
153,"Quelle est la différence de ressources requises pour une personne supplémentaire dans un ménage souhaitant un logement social en région par rapport à Paris ?",25,other,2,3,1,False
154,"Quel est le coût salarial de l'équipe projet?",8,other,2,2,0,False
155,"Comment se répartissaient les actifs sectoriels entre les services financiers spécialisés et la gestion d'actifs/assurances privées en 2004 selon le rapport financier?",22,other,3,1,-2,False
156,"Combien d'exemplaires de monographies dans le domaine de l'économie et de la gestion ont été imprimés en 2013 ?",19,other,2,3,1,False
157,"Quel pourcentage du revenu total de KLM Cargo l'Asie a-t-elle représenté pendant les 9 mois de l'exercice financier 2011 ?",20,other,3,4,1,False
158,"Quelle a été l'évolution du chiffre d'affaires du secteur de la construction entre le premier trimestre de 2020 et le premier trimestre de 2021?",24,other,1,4,3,True
159,"Y a-t-il une différence significative dans la répartition des patients avec EIG entre les CHU et les établissements sous DG?",20,other,2,2,0,False
160,"Quelle a été l'évolution du bénéfice net sur plusieurs années pour une entreprise donnée?",14,other,None,None,0,False
161,"Comment a évolué le montant des prêts et créances entre mars 2011 et décembre 2011 ?",16,other,None,None,0,False
162,"Quelle est l'évolution des coûts prévisionnels pour l'assistance aux utilisateurs et les réclamations entre 2016 et le régime de généralisation permanent?",21,other,4,3,-1,False
163,"Quelle est l'évolution des cas d'incitation à ignorer le repos journalier sur une période de 1993 à 2005 ?",19,other,2,3,1,False
164,"Quelle est la différence entre le nombre d'actions ordinaires et potentielles utilisées pour calculer le résultat dilué par action?",19,other,None,None,0,False
165,"Comment la croissance à long terme affecte-t-elle la valeur des flux de trésorerie d'une entreprise?",15,other,1,1,0,False
166,"Quels sont les impacts sur les charges d'exploitation suite à un changement dans le chiffre d'affaires d'une entreprise?",18,other,2,4,2,False
167,"Quelle a été l'évolution du volume d'affaires du e-commerce entre T1 2015 et T1 2016 ?",16,other,2,3,1,False
168,"Combien y a-t-il d'installations de traitement des eaux usées ?",10,other,3,2,-1,False
169,"a combien se sont élevées les dépenses de fonctionnement d'aide sociale en 2010 ?",14,other,1,1,0,False
170,"Quels sont les ratios de sexe masculin et l'âge moyen des patients en médecine et en chirurgie dans différents types d'établissements de santé?",23,other,2,2,0,False
171,"Comment varient les prix entre les classes de véhicules chez les différents opérateurs de péages?",15,other,None,None,0,False
172,"Quelles informations trouve-t-on dans un bordereau de gestion budgétaire concernant les codes collectivités et les codes budgets ?",18,other,4,3,-1,False
173,"Comment se répartit le trafic aérien entre les liaisons internationales et les liaisons intérieures en France ?",17,other,1,1,0,False
174,"Comment se répartit la dette à long terme d'une entreprise entre les dettes courantes et non courantes pour l'année 2006 ?",21,other,None,None,0,False
175,"quelle radio a pour fréquence 86.2 ?",7,other,2,2,0,False
176,"Quelle a été l'évolution de la dépense courante en millions d'euros entre 2000 et 2011 en France?",17,other,3,1,-2,False
177,"Quel est le budget d'acquisition moyen pour les collections d'imprimés dans les grandes institutions de prêt de livres?",18,other,2,4,2,False
178,"Comment ont fluctué les chiffres du transport routier de voyageurs de 2013 à 2014 ?",15,other,3,3,0,False
179,"Quelle est l'évolution du nombre de tués dans les accidents de la route en France entre 2015 et 2020?",19,other,1,1,0,False
180,"Quelle est la fréquence des trains TER et Intercités à la Gare de Bercy durant la journée et la soirée?",20,other,1,1,0,False
181,"Quelle chaîne de télévision a eu le taux de reprise des programmes le plus élevé en Mars 2010 ?",19,other,3,2,-1,False
182,"Quel est le nombre de titres publiés dans le domaine des lettres et langues en 2013 ?",17,other,3,3,0,False
183,"Quels sont les principaux postes de dépenses externes pour les compagnies aériennes?",12,other,7,None,4,False
184,"Quel type de dette correspond à la plus grosse partie de la dette financière totale ?",16,other,2,1,-1,False
185,"Quelle est l'évolution du pourcentage de logements considérés comme non décents en France entre 2016 et 2017 ?",18,other,4,1,-3,False
186,"Combien de logements mesuraient plus de 100 mètres carrés en 2010?",11,other,2,6,4,False
187,"Quels sont les numéros de téléphone de certaines adresses spécifiques dans le premier arrondissement de Paris ?",17,other,1,1,0,False
188,"Quels sont les pourcentages de variation de la part des logements de moins de 40 m² en collectif au cours des années 2000 ?",24,other,3,3,0,False
189,"Comment ont évolué les coûts de carburant pour les avions et les charges externes dans le secteur aéronautique au cours des dernières années ?",24,other,7,5,-2,False
190,"Quelle est l'évolution du nombre de bénéficiaires de l'ACTP et de la PCH de 2006 à 2020?",17,other,1,1,0,False
191,"Peut-on trouver des exemples de structures de primes basées sur l'égalité ou la performance dans les grandes entreprises ?",19,other,1,7,6,True
192,"Quelles sont les proportions de populations dans les villes selon différentes tranches de taille d'habitants?",15,other,5,10,5,False
193,"Quel est le taux de contrats collectifs dans les institutions de prévoyance qui sont pris en charge de 1 à 90 jours ?",23,other,1,2,1,True
194,"Comment a évolué la marge d'EBITDAR pour une certaine société au cours d'un trimestre spécifique?",15,other,2,1,-1,False
195,"Quelles sont les différentes catégories d'immobilisations comptabilisées dans les bilans des entreprises ?",13,other,1,2,1,True
196,"En 2004, quel était la part de l'énergie dans les dépenses courantes ?",13,other,7,7,0,False
197,"Quelle est l'évolution du nombre de magasins de la chaîne 'HM Libertad' en Argentine entre septembre 2019 et juin 2020?",20,other,1,1,0,False
198,"Comment se répartit la durée d'occupation des logements entre locataires et propriétaires?",12,other,1,1,0,False
199,"Quel est le résultat net du groupe en 2017 ?",10,other,3,1,-2,False
